Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,116009.000000,116031.000000,115573.000000,115925.000000,115925.000000,9580000
2023-09-26,115922.000000,115922.000000,114162.000000,114193.000000,114193.000000,11241800
2023-09-27,114194.000000,115340.000000,113366.000000,114327.000000,114327.000000,13359300
2023-09-28,114875.000000,115954.000000,114811.000000,115731.000000,115731.000000,10387000
2023-09-29,115742.000000,116899.000000,115742.000000,116565.000000,116565.000000,11143200
2023-10-02,116565.000000,116672.000000,114761.000000,115057.000000,115057.000000,8524900
2023-10-03,115055.000000,115056.000000,113151.000000,113419.000000,113419.000000,11104800
2023-10-04,113430.000000,114075.000000,113036.000000,113607.000000,113607.000000,10813800
2023-10-05,113609.000000,114359.000000,112705.000000,113284.000000,113284.000000,9507200
2023-10-06,113283.000000,114491.000000,111599.000000,114170.000000,114170.000000,13138200
2023-10-09,114169.000000,115219.000000,113448.000000,115156.000000,115156.000000,9474400
2023-10-10,115158.000000,116900.000000,115158.000000,116737.000000,116737.000000,11621500
2023-10-11,116737.000000,117099.000000,116231.000000,117051.000000,117051.000000,9949800
2023-10-13,117050.000000,117070.000000,115658.000000,115754.000000,115754.000000,10609300
2023-10-16,115760.000000,116905.000000,115760.000000,116534.000000,116534.000000,8989900
2023-10-17,116526.000000,116917.000000,115564.000000,115908.000000,115908.000000,10371700
2023-10-18,115907.000000,115907.000000,113952.000000,114060.000000,114060.000000,15492200
2023-10-19,114059.000000,115063.000000,113768.000000,114004.000000,114004.000000,11497600
2023-10-20,113996.000000,114090.000000,112533.000000,113155.000000,113155.000000,0
2023-10-23,113145.000000,113680.000000,112164.000000,112785.000000,112785.000000,10701800
2023-10-24,112814.000000,114249.000000,112814.000000,113762.000000,113762.000000,10711800
2023-10-25,113762.000000,114319.000000,112680.000000,112830.000000,112830.000000,12306500
2023-10-26,112840.000000,114886.000000,112840.000000,114777.000000,114777.000000,12770600
2023-10-27,114777.000000,115342.000000,112953.000000,113301.000000,113301.000000,12289500
2023-10-30,113303.000000,114204.000000,112309.000000,112532.000000,112532.000000,9741800
2023-10-31,112534.000000,113597.000000,112098.000000,113144.000000,113144.000000,10557400
2023-11-01,113157.000000,115433.000000,113157.000000,115053.000000,115053.000000,13904100
2023-11-03,115062.000000,118502.000000,115062.000000,118160.000000,118160.000000,15714000
2023-11-06,118160.000000,118758.000000,118045.000000,118487.000000,118487.000000,10167700
2023-11-07,118422.000000,119577.000000,118026.000000,119268.000000,119268.000000,16393100
2023-11-08,119268.000000,119976.000000,118464.000000,119099.000000,119099.000000,15193500
2023-11-09,119180.000000,120257.000000,118446.000000,119012.000000,119012.000000,15568300
2023-11-10,119036.000000,120823.000000,119036.000000,120636.000000,120636.000000,0
2023-11-13,120561.000000,120606.000000,119878.000000,120376.000000,120376.000000,11198000
2023-11-14,120411.000000,123370.000000,120411.000000,123328.000000,123328.000000,19427900
2023-11-16,123165.000000,124737.000000,123165.000000,124576.000000,124576.000000,18355600
2023-11-17,124639.000000,125431.000000,124547.000000,125062.000000,125062.000000,15719100
2023-11-20,124773.000000,126162.000000,124773.000000,126095.000000,126095.000000,11108500
2023-11-21,125957.000000,125957.000000,125060.000000,125607.000000,125607.000000,10793500
2023-11-22,125626.000000,126875.000000,125439.000000,126035.000000,126035.000000,14058500
2023-11-23,126035.000000,126760.000000,125764.000000,126576.000000,126576.000000,7816400
2023-11-24,126553.000000,126553.000000,125341.000000,125542.000000,125542.000000,9613100
2023-11-27,125517.000000,125826.000000,124840.000000,125683.000000,125683.000000,11013800
2023-11-28,125726.000000,126916.000000,125388.000000,126538.000000,126538.000000,12394200
2023-11-29,126541.000000,127388.000000,126018.000000,126101.000000,126101.000000,12417500
2023-11-30,126168.000000,127399.000000,126168.000000,127331.000000,127331.000000,19238400
2023-12-01,127331.000000,128165.000000,126656.000000,128103.000000,128103.000000,13696500
2023-12-04,128183.000000,128183.000000,126643.000000,126803.000000,126803.000000,10270500
2023-12-05,126802.000000,127489.000000,126491.000000,126903.000000,126903.000000,11960300
2023-12-06,126907.000000,127538.000000,125614.000000,125623.000000,125623.000000,10837300
2023-12-07,125623.000000,126581.000000,125566.000000,126010.000000,126010.000000,10505300
2023-12-08,126010.000000,127289.000000,125562.000000,127094.000000,127094.000000,10745300
2023-12-11,127093.000000,127154.000000,126526.000000,126916.000000,126916.000000,7091900
2023-12-12,126923.000000,127359.000000,126013.000000,126403.000000,126403.000000,10266500
2023-12-13,126406.000000,129793.000000,126299.000000,129465.000000,129465.000000,15066200
2023-12-14,129469.000000,131260.000000,129469.000000,130842.000000,130842.000000,15822800
2023-12-15,130842.000000,131661.000000,129884.000000,130197.000000,130197.000000,15141000
2023-12-18,130202.000000,131447.000000,130198.000000,131084.000000,131084.000000,9604400
2023-12-19,131088.000000,132047.000000,131086.000000,131851.000000,131851.000000,9429700
2023-12-20,131851.000000,132341.000000,130710.000000,130804.000000,130804.000000,10335800
2023-12-21,130826.000000,132277.000000,130822.000000,132182.000000,132182.000000,8681000
2023-12-22,132553.000000,133035.000000,132094.000000,132753.000000,132753.000000,8231100
2023-12-26,132753.000000,133645.000000,132753.000000,133533.000000,133533.000000,0
2023-12-27,133523.000000,134195.000000,133328.000000,134194.000000,134194.000000,6168200
2023-12-28,134194.000000,134392.000000,133832.000000,134185.000000,134185.000000,7812700
2024-01-02,134186.000000,134195.000000,132095.000000,132697.000000,132697.000000,8437800
2024-01-03,132697.000000,133576.000000,132250.000000,132834.000000,132834.000000,8702400
2024-01-04,132831.000000,132885.000000,131024.000000,131226.000000,131226.000000,8972300
2024-01-05,131218.000000,132635.000000,130579.000000,132023.000000,132023.000000,9199700
2024-01-08,132023.000000,132498.000000,131015.000000,132427.000000,132427.000000,8497500
2024-01-09,132424.000000,132426.000000,131203.000000,131447.000000,131447.000000,9287500
2024-01-10,131447.000000,131628.000000,130438.000000,130841.000000,130841.000000,8958400
2024-01-11,130841.000000,131308.000000,129898.000000,130649.000000,130649.000000,9761700
2024-01-12,130652.000000,131927.000000,130410.000000,130988.000000,130988.000000,10661900
2024-01-15,130988.000000,131606.000000,130253.000000,131521.000000,131521.000000,5746600
2024-01-16,131515.000000,131517.000000,129147.000000,129294.000000,129294.000000,11911300
2024-01-17,129293.000000,129296.000000,128312.000000,128524.000000,128524.000000,9952500
2024-01-18,128524.000000,129047.000000,127316.000000,127316.000000,127316.000000,12460800
2024-01-19,127319.000000,127820.000000,126533.000000,127636.000000,127636.000000,11956900
2024-01-22,127636.000000,127843.000000,125876.000000,126602.000000,126602.000000,9509100
2024-01-23,126612.000000,128331.000000,126612.000000,128263.000000,128263.000000,9366100
2024-01-24,128275.000000,129446.000000,127680.000000,127816.000000,127816.000000,8823800
2024-01-25,127815.000000,128697.000000,127803.000000,128169.000000,128169.000000,8757600
2024-01-26,128196.000000,129252.000000,127869.000000,128967.000000,128967.000000,8508000
2024-01-29,128970.000000,129068.000000,127853.000000,128503.000000,128503.000000,8764500
2024-01-30,128492.000000,128492.000000,127105.000000,127402.000000,127402.000000,10037400
2024-01-31,127402.000000,129558.000000,127326.000000,127752.000000,127752.000000,12495200
2024-02-01,127752.000000,128481.000000,127284.000000,128481.000000,128481.000000,10226400
2024-02-02,128471.000000,128878.000000,126628.000000,127182.000000,127182.000000,10982800
2024-02-05,127182.000000,127834.000000,126443.000000,127593.000000,127593.000000,9637200
2024-02-06,127593.000000,130417.000000,127593.000000,130416.000000,130416.000000,13780300
2024-02-07,130412.000000,130552.000000,129518.000000,129608.000000,129608.000000,15425400
2024-02-08,129950.000000,130126.000000,127912.000000,128217.000000,128217.000000,13634900
2024-02-09,128216.000000,128896.000000,127579.000000,128026.000000,128026.000000,12115800
2024-02-14,128026.000000,128026.000000,126663.000000,127018.000000,127018.000000,7748300
2024-02-15,127018.000000,127824.000000,126932.000000,127804.000000,127804.000000,10980100
2024-02-16,127809.000000,129069.000000,127653.000000,128726.000000,128726.000000,10119100
2024-02-19,128720.000000,129036.000000,128097.000000,129036.000000,129036.000000,5799100
2024-02-20,129033.000000,129916.000000,128326.000000,129916.000000,129916.000000,12237000
2024-02-21,129916.000000,130034.000000,129359.000000,130032.000000,130032.000000,12585700
2024-02-22,130035.000000,130829.000000,129971.000000,130241.000000,130241.000000,10771700
2024-02-23,130240.000000,130624.000000,129077.000000,129419.000000,129419.000000,9230300
2024-02-26,129417.000000,129978.000000,129077.000000,129609.000000,129609.000000,7436900
2024-02-27,129613.000000,131696.000000,129613.000000,131689.000000,131689.000000,10049000
2024-02-28,131685.000000,131685.000000,129771.000000,130155.000000,130155.000000,9045600
2024-02-29,130155.000000,130155.000000,128669.000000,129020.000000,129020.000000,12003100
2024-03-01,129026.000000,129716.000000,128717.000000,129180.000000,129180.000000,9765100
2024-03-04,129176.000000,129307.000000,128278.000000,128341.000000,128341.000000,7967700
2024-03-05,128336.000000,128989.000000,127823.000000,128098.000000,128098.000000,9692200
2024-03-06,128099.000000,129323.000000,128099.000000,128890.000000,128890.000000,11057900
2024-03-07,128890.000000,129188.000000,128033.000000,128340.000000,128340.000000,7350000
2024-03-08,128335.000000,128338.000000,125802.000000,127071.000000,127071.000000,11937900
2024-03-11,127068.000000,127068.000000,126065.000000,126124.000000,126124.000000,8899100
2024-03-12,126124.000000,128039.000000,126121.000000,127668.000000,127668.000000,9483700
2024-03-13,127668.000000,128530.000000,127439.000000,128006.000000,128006.000000,8837200
2024-03-14,127992.000000,128256.000000,127192.000000,127690.000000,127690.000000,9292600
2024-03-15,127682.000000,127957.000000,126502.000000,126742.000000,126742.000000,14992400
2024-03-18,126758.000000,127540.000000,126272.000000,126954.000000,126954.000000,10512100
2024-03-19,126955.000000,128000.000000,126955.000000,127529.000000,127529.000000,11184800
2024-03-20,127534.000000,129210.000000,127349.000000,129125.000000,129125.000000,10819300
2024-03-21,129125.000000,129556.000000,128093.000000,128159.000000,128159.000000,9570800
2024-03-22,128159.000000,128159.000000,126879.000000,127027.000000,127027.000000,9367800
2024-03-25,127027.000000,127224.000000,126750.000000,126931.000000,126931.000000,8060500
2024-03-26,126931.000000,127193.000000,126591.000000,126863.000000,126863.000000,9435700
2024-03-27,126863.000000,127756.000000,126223.000000,127691.000000,127691.000000,9918200
2024-03-28,127689.000000,128364.000000,127270.000000,128106.000000,128106.000000,9943400
2024-04-01,128106.000000,128659.000000,126772.000000,126990.000000,126990.000000,9372600
2024-04-02,126990.000000,127654.000000,126669.000000,127549.000000,127549.000000,9073600
2024-04-03,127546.000000,127694.000000,126181.000000,127318.000000,127318.000000,11032700
2024-04-04,127313.000000,129627.000000,127178.000000,127428.000000,127428.000000,13229200
2024-04-05,127422.000000,127432.000000,126394.000000,126795.000000,126795.000000,9101300
2024-04-08,126796.000000,129178.000000,126796.000000,128857.000000,128857.000000,8128300
2024-04-09,128858.000000,129956.000000,128826.000000,129890.000000,129890.000000,8489700
2024-04-10,129872.000000,129872.000000,127732.000000,128054.000000,128054.000000,10451800
2024-04-11,128051.000000,128051.000000,127069.000000,127396.000000,127396.000000,8882900
2024-04-12,127396.000000,127640.000000,125635.000000,125946.000000,125946.000000,10246600
2024-04-15,125946.000000,126250.000000,125034.000000,125334.000000,125334.000000,13504500
2024-04-16,125316.000000,125316.000000,123756.000000,124389.000000,124389.000000,14009800
2024-04-17,124389.000000,125301.000000,123642.000000,124171.000000,124171.000000,11370900
2024-04-18,124171.000000,125140.000000,123397.000000,124196.000000,124196.000000,10662400
2024-04-19,124197.000000,125509.000000,124056.000000,125124.000000,125124.000000,13604100
2024-04-22,125124.000000,126081.000000,124633.000000,125573.000000,125573.000000,10264100
2024-04-23,125572.000000,125826.000000,124310.000000,125148.000000,125148.000000,11257800
2024-04-24,125149.000000,125473.000000,124556.000000,124741.000000,124741.000000,10526300
2024-04-25,124718.000000,124732.000000,123703.000000,124646.000000,124646.000000,10093100
2024-04-26,124651.000000,126826.000000,124651.000000,126526.000000,126526.000000,8900000
2024-04-29,126527.000000,127352.000000,126467.000000,127352.000000,127352.000000,8385100
2024-04-30,127352.000000,127352.000000,125856.000000,125924.000000,125924.000000,10889600
2024-05-02,125926.000000,127670.000000,125926.000000,127122.000000,127122.000000,11547800
2024-05-03,127130.000000,128787.000000,127130.000000,128509.000000,128509.000000,12799200
2024-05-06,128506.000000,129181.000000,128294.000000,128466.000000,128466.000000,8779100
2024-05-07,128466.000000,129745.000000,128464.000000,129210.000000,129210.000000,10177500
2024-05-08,129210.000000,129564.000000,128048.000000,129481.000000,129481.000000,9788900
2024-05-09,129468.000000,129468.000000,127376.000000,128188.000000,128188.000000,13369000
2024-05-10,128188.000000,129022.000000,127467.000000,127600.000000,127600.000000,12574200
2024-05-13,127600.000000,128669.000000,127599.000000,128155.000000,128155.000000,8917300
2024-05-14,128155.000000,128965.000000,127962.000000,128515.000000,128515.000000,11886800
2024-05-15,128514.000000,128646.000000,127029.000000,128028.000000,128028.000000,10855600
2024-05-16,128029.000000,128965.000000,127922.000000,128284.000000,128284.000000,9852200
2024-05-17,128280.000000,128464.000000,127696.000000,128151.000000,128151.000000,10262600
2024-05-20,128151.000000,128730.000000,127488.000000,127751.000000,127751.000000,9340300
2024-05-21,127754.000000,128272.000000,127205.000000,127412.000000,127412.000000,9138500
2024-05-22,127412.000000,127412.000000,125524.000000,125650.000000,125650.000000,12403500
2024-05-23,125650.000000,125665.000000,124431.000000,124729.000000,124729.000000,9985400
2024-05-24,124731.000000,125257.000000,124259.000000,124306.000000,124306.000000,9211500
2024-05-27,124297.000000,124535.000000,124081.000000,124496.000000,124496.000000,4327600
2024-05-28,124498.000000,125392.000000,123537.000000,123780.000000,123780.000000,9179800
2024-05-29,123780.000000,123780.000000,122458.000000,122707.000000,122707.000000,8257700
2024-05-31,122704.000000,122837.000000,121929.000000,122098.000000,122098.000000,15918600
2024-06-03,122100.000000,122495.000000,121496.000000,122032.000000,122032.000000,8428100
2024-06-04,122032.000000,122032.000000,120878.000000,121802.000000,121802.000000,8529300
2024-06-05,121803.000000,122170.000000,121253.000000,121407.000000,121407.000000,8768700
2024-06-06,121408.000000,123246.000000,121377.000000,122899.000000,122899.000000,8404200
2024-06-07,122899.000000,122899.000000,120679.000000,120767.000000,120767.000000,9801200
2024-06-10,120769.000000,121421.000000,120540.000000,120760.000000,120760.000000,6568400
2024-06-11,120760.000000,121759.000000,120757.000000,121635.000000,121635.000000,7477000
2024-06-12,121644.000000,122483.000000,119544.000000,119936.000000,119936.000000,11278800
2024-06-13,119936.000000,120222.000000,119171.000000,119568.000000,119568.000000,8543000
2024-06-14,119558.000000,120214.000000,118828.000000,119662.000000,119662.000000,7847600
2024-06-17,119663.000000,119663.000000,118685.000000,119138.000000,119138.000000,7380600
2024-06-18,119138.000000,120109.000000,118872.000000,119630.000000,119630.000000,8100100
2024-06-19,119630.000000,120383.000000,118960.000000,120261.000000,120261.000000,5646300
2024-06-20,120267.000000,121607.000000,120156.000000,120446.000000,120446.000000,8659500
2024-06-21,120446.000000,121580.000000,120061.000000,121341.000000,121341.000000,12906900
2024-06-24,121343.000000,122840.000000,121307.000000,122637.000000,122637.000000,7836100
2024-06-25,122804.000000,122849.000000,121997.000000,122331.000000,122331.000000,6942900
2024-06-26,122331.000000,122701.000000,121402.000000,122641.000000,122641.000000,8178800
2024-06-27,122642.000000,124308.000000,122642.000000,124308.000000,124308.000000,8707300
2024-06-28,124308.000000,124500.000000,123298.000000,123907.000000,123907.000000,9070800
2024-07-01,123905.000000,125220.000000,123735.000000,124718.000000,124718.000000,0
2024-07-02,124720.000000,125491.000000,124310.000000,124787.000000,124787.000000,8368000
2024-07-03,124787.000000,126581.000000,124787.000000,125662.000000,125662.000000,8534200
2024-07-04,125666.000000,126660.000000,125666.000000,126164.000000,126164.000000,6535700
2024-07-05,126165.000000,126662.000000,125556.000000,126267.000000,126267.000000,8085600
2024-07-08,126280.000000,126551.000000,125614.000000,126548.000000,126548.000000,7430300
2024-07-09,126548.000000,127295.000000,125937.000000,127108.000000,127108.000000,6684600
2024-07-10,127109.000000,127769.000000,126928.000000,127218.000000,127218.000000,8152600
2024-07-11,127221.000000,128326.000000,127221.000000,128294.000000,128294.000000,7972900
2024-07-12,128293.000000,129015.000000,128002.000000,128897.000000,128897.000000,7206600
2024-07-15,128898.000000,129485.000000,128723.000000,129321.000000,129321.000000,5826900
2024-07-16,129322.000000,129521.000000,128761.000000,129110.000000,129110.000000,6818900
2024-07-17,129112.000000,129658.000000,128741.000000,129450.000000,129450.000000,6672400
2024-07-18,129450.000000,129454.000000,127523.000000,127652.000000,127652.000000,7591500
2024-07-19,127652.000000,128360.000000,127413.000000,127616.000000,127616.000000,7620400
2024-07-22,127616.000000,128151.000000,127456.000000,127860.000000,127860.000000,6098200
2024-07-23,127860.000000,127860.000000,126530.000000,126590.000000,126590.000000,7022900
2024-07-24,126596.000000,126823.000000,126218.000000,126423.000000,126423.000000,7304800
2024-07-25,126423.000000,126423.000000,125626.000000,125954.000000,125954.000000,7134100
2024-07-26,125964.000000,127700.000000,125953.000000,127492.000000,127492.000000,8272000
2024-07-29,127492.000000,127657.000000,126606.000000,126954.000000,126954.000000,7075400
2024-07-30,126951.000000,126951.000000,125973.000000,126139.000000,126139.000000,6848600
2024-07-31,126139.000000,127853.000000,126139.000000,127652.000000,127652.000000,9471900
2024-08-01,127652.000000,128762.000000,127150.000000,127395.000000,127395.000000,9814200
2024-08-02,127395.000000,128104.000000,125731.000000,125854.000000,125854.000000,9950900
